table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,
Rank,City,2020,2021,2022
491,"Evanston city, Illinois","77,857","76,686","75,544"
492,"Southfield city, Michigan","76,381","75,914","75,431"
493,"Rock Hill city, South Carolina","74,690","74,743","75,349"
494,"Iowa City city, Iowa","74,908","75,172","75,233"
495,"Arlington Heights village, Illinois","77,447","76,153","75,195"
496,"Pawtucket city, Rhode Island","75,480","75,277","75,066"
497,"Bowling Green city, Kentucky","72,456","73,149","74,926"
498,"Lakeville city, Minnesota","70,023","72,751","74,553"
499,"Appleton city, Wisconsin","75,707","74,856","74,511"
500,"Bismarck city, North Dakota","73,737","74,083","74,445"
501,"New Britain city, Connecticut","73,974","74,581","74,396"
502,"Leander city, Texas","60,848","67,093","74,375"
503,"Bolingbrook village, Illinois","73,818","73,668","74,031"
504,"Rocklin city, California","71,861","73,082","73,857"
505,"Redlands city, California","73,257","73,538","73,849"
506,"Lauderhill city, Florida","74,312","73,605","73,633"
